 accuracy , hidden dimensions , batchsize , epochs , vocab size , layers ,  dropout, time 
 79.41346866999638, 128, 16, 2, 20000, 2, 0.4, 86.727989
 79.07512977603281, 128, 16, 2, 20000, 3, 0.4, 119.61801499999999
 79.35437523284399, 128, 16, 2, 20000, 4, 0.4, 169.297666
 79.30455135556561, 64, 16, 2, 20000, 2, 0.4, 78.50225499999999
 79.77498146198748, 128, 16, 2, 20000, 2, 0.4, 85.06535199999996
 79.67996848571022, 256, 16, 2, 20000, 2, 0.4, 122.99394399999994
 79.82828142380423, 128, 16, 2, 20000, 2, 0.4, 85.41051900000002
 79.08439933259177, 128, 16, 2, 25000, 2, 0.4, 88.428358
 79.37175565553586, 128, 16, 2, 20000, 2, 0.4, 82.76942800000006
 78.29681789384402, 128, 32, 2, 20000, 2, 0.4, 54.001611000000025
 76.9241071542104, 128, 64, 2, 20000, 2, 0.4, 39.29805499999998
 79.27094920392295, 128, 16, 2, 20000, 2, 0.4, 85.55324399999995
 80.66370041007062, 128, 16, 3, 20000, 2, 0.4, 126.40445
 81.75750834260289, 128, 16, 5, 20000, 2, 0.4, 208.9522199999999
 81.82239525509092, 128, 16, 5, 20000, 2, 0.4, 208.93783900000017
 81.07851316387847, 128, 16, 5, 20000, 2, 0.5, 208.97144400000002
 80.21644419836123, 128, 16, 5, 20000, 2, 0.6, 209.15744500000005
