 accuracy , hidden dimensions , batchsize , epochs , vocab size , layers ,  dropout, time 
 75.81351689612015, 64, 4, 1, 25000, 2, 0.5, 138.52152900000002
 76.27937699902657, 64, 4, 1, 25000, 3, 0.5, 173.68878000000004
 75.33022803114572, 64, 8, 1, 25000, 2, 0.5, 72.56311999999997
 75.58050611790878, 64, 8, 1, 25000, 3, 0.5, 93.670051
 74.22125080400673, 64, 12, 1, 25000, 2, 0.5, 50.71926999999994
 75.16340066616267, 64, 12, 1, 25000, 3, 0.5, 66.35583399999996
 76.39758030871924, 128, 4, 1, 25000, 2, 0.5, 141.71391300000005
 75.75093867334168, 128, 4, 1, 25000, 3, 0.5, 182.82687799999997
 75.63264738598443, 128, 8, 1, 25000, 2, 0.5, 75.45286499999997
 75.49708008898777, 128, 8, 1, 25000, 3, 0.5, 100.33589300000006
 75.35113539542066, 128, 12, 1, 25000, 2, 0.5, 53.481019999999944
 75.44152612207728, 128, 12, 1, 25000, 3, 0.5, 73.24304499999994
 76.23418161590878, 256, 4, 1, 25000, 2, 0.5, 173.49574300000018
 75.27812543457098, 256, 4, 1, 25000, 3, 0.5, 246.34721100000002
 75.88987764182424, 256, 8, 1, 25000, 2, 0.5, 99.94313399999987
 75.20161290322581, 256, 8, 1, 25000, 3, 0.5, 146.13543400000003
 74.81574389926583, 256, 12, 1, 25000, 2, 0.5, 74.9230799999998
 75.12863506786417, 256, 12, 1, 25000, 3, 0.5, 112.03913300000022
