 accuracy , hidden dimensions , batchsize , epochs , vocab size , layers ,  dropout, time 
 76.3767209011264, 128, 4, 1, 25000, 2, 0.5, 143.754073
 73.7416573971079, 64, 8, 1, 25000, 2, 0.5, 72.94410500000001
 75.57015918820015, 128, 12, 1, 25000, 2, 0.5, 53.48634799999999
 74.53066530106314, 64, 12, 1, 25000, 3, 0.5, 66.62476499999997
 75.59101856719667, 64, 12, 1, 25000, 2, 0.5, 50.925982999999974
 74.82269702228248, 128, 12, 1, 25000, 3, 0.5, 73.26779099999999
 75.72650166852057, 64, 8, 1, 25000, 3, 0.5, 93.97261299999997
 76.0777360589626, 64, 4, 1, 25000, 2, 0.5, 138.90092500000003
 75.98039215686273, 128, 4, 1, 25000, 3, 0.5, 184.146484
 75.20161290322581, 256, 8, 1, 25000, 3, 0.5, 146.13543400000003
 75.3893214682981, 128, 8, 1, 25000, 3, 0.5, 100.64754600000015
 76.23418161590878, 256, 4, 1, 25000, 2, 0.5, 173.49574300000018
 75.27812543457098, 256, 4, 1, 25000, 3, 0.5, 246.34721100000002
 75.88987764182424, 256, 8, 1, 25000, 2, 0.5, 99.94313399999987
 74.81574389926583, 256, 12, 1, 25000, 2, 0.5, 74.9230799999998
 76.08468919482686, 64, 4, 1, 25000, 3, 0.5, 175.3616129999998
 75.40322580645162, 128, 8, 1, 25000, 2, 0.5, 75.98279699999989
 75.12863506786417, 256, 12, 1, 25000, 3, 0.5, 112.03913300000022
